red,node,node_id,node_type,label,grado,grado_ponderado,intermediacion,armonica,pagerank,componente,componente_tamano,channel_name,category,comentarios,autores_unicos,autores_compartidos,proporcion_audiencia_compartida,videos_conectados,canales_conectados,categorias_conectadas,view_count
proyeccion_videos,video::EQDcEgFpXCk,EQDcEgFpXCk,video,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,0,0.0,0.0,0.0,0.0028620758795720952,84,1,FRANCE 24 Español,News & Politics,0,0,0,0.0,0,0,0,5459
proyeccion_videos,video::EZfm-05qtWo,EZfm-05qtWo,video,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,0,0.0,0.0,0.0,0.0028620758795720952,85,1,Cucurucho en Guatemala,People & Blogs,0,0,0,0.0,0,0,0,128
proyeccion_videos,video::F72Rdq5crG4,F72Rdq5crG4,video,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,0,0.0,0.0,0.0,0.0028620758795720952,86,1,Canal Antigua,News & Politics,0,0,0,0.0,0,0,0,1441
proyeccion_videos,video::FEc1BCuBiDg,FEc1BCuBiDg,video,¡Estamos con ustedes!,0,0.0,0.0,0.0,0.0028620758795720952,87,1,Municipalidad de Guatemala,News & Politics,0,0,0,0.0,0,0,0,1562
proyeccion_videos,video::FQP4JTo9ShA,FQP4JTo9ShA,video,Rafael Carrera y el nacimiento de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,88,1,MundoHistoria,Education,0,0,0,0.0,0,0,0,1420
proyeccion_videos,video::FU5zLTb4inc,FU5zLTb4inc,video,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,89,1,Diario de Centro América,News & Politics,0,0,0,0.0,0,0,0,549
proyeccion_videos,video::Fapc1-8m5Zc,Fapc1-8m5Zc,video,Municipalidad de Guatemala 21/11/2025,0,0.0,0.0,0.0,0.0028620758795720952,90,1,Concejales de Oposición - Muni Guate,People & Blogs,0,0,0,0.0,0,0,0,282
proyeccion_videos,video::Fb2Ccfq5S9w,Fb2Ccfq5S9w,video,Reo y su esposa fueron asesinados dentro del Preventivo de zona 18,0,0.0,0.0,0.0,0.0028620758795720952,91,1,TN23 Guatemala,News & Politics,0,0,0,0.0,0,0,0,15431
proyeccion_videos,video::FuTz67jS7m0,FuTz67jS7m0,video,124 nuevos brigadas refuerzan la seguridad vial en Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,92,1,PROVIAL-CIV,Education,0,0,0,0.0,0,0,0,45
proyeccion_videos,video::G2u4Rbq7zU4,G2u4Rbq7zU4,video,Arévalo anuncia nueva cárcel de máxima seguridad en Guatemala,0,0.0,0.0,0.0,0.0028620758795720952,93,1,TN23 Guatemala,News & Politics,0,0,0,0.0,0,0,0,6327
proyeccion_videos,video::GgU7qhmf020,GgU7qhmf020,video,Sueños GT: educación para la niñez de vendedores ambulantes en Antigua | Super - Episodio 1,0,0.0,0.0,0.0,0.0028620758795720952,94,1,Quorum,Nonprofits & Activism,0,0,0,0.0,0,0,0,167
